Método,MSE_mean,MSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std
CNN_puro,0.006058,0.007348,24.1263,3.9252,0.9153,0.0650
CNN_MCF,0.005797,0.007380,24.6532,4.4138,0.9310,0.0650
